ID,Image Path,Canvas Label,Filename,Predicted Label
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq46.jpg,(seq. 46),seq46.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq47.jpg,(seq. 47),seq47.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq49.jpg,(seq. 49),seq49.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq51.jpg,(seq. 51),seq51.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq57.jpg,(seq. 57),seq57.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq58.jpg,(seq. 58),seq58.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq61.jpg,(seq. 61),seq61.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq63.jpg,(seq. 63),seq63.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq64.jpg,(seq. 64),seq64.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq65.jpg,(seq. 65),seq65.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq68.jpg,(seq. 68),seq68.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq75.jpg,(seq. 75),seq75.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq78.jpg,(seq. 78),seq78.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq79.jpg,(seq. 79),seq79.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq80.jpg,(seq. 80),seq80.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq81.jpg,(seq. 81),seq81.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq82.jpg,(seq. 82),seq82.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq83.jpg,(seq. 83),seq83.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq84.jpg,(seq. 84),seq84.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq85.jpg,(seq. 85),seq85.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq86.jpg,(seq. 86),seq86.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq87.jpg,(seq. 87),seq87.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq88.jpg,(seq. 88),seq88.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq89.jpg,(seq. 89),seq89.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq90.jpg,(seq. 90),seq90.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq91.jpg,(seq. 91),seq91.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq92.jpg,(seq. 92),seq92.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq96.jpg,(seq. 96),seq96.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq97.jpg,(seq. 97),seq97.jpg,diagram
